nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  11/22/2025 6:36:08 PM ::1 GET /images/logos/athlone-tennis-club.png
 HTTP  11/22/2025 6:36:08 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:08 PM ::1 GET /images/logos/parks_tennis.png
 HTTP  11/22/2025 6:36:08 PM ::1 Returned 304 in 1 ms
 HTTP  11/22/2025 6:36:08 PM ::1 GET /images/logos/ballinlough.png
 HTTP  11/22/2025 6:36:08 PM ::1 Returned 200 in 0 ms
 HTTP  11/22/2025 6:36:08 PM ::1 GET /images/logos/ballycannon.jpg
 HTTP  11/22/2025 6:36:08 PM ::1 Returned 304 in 1 ms
 HTTP  11/22/2025 6:36:08 PM ::1 GET /tennisconnectx.ico
 HTTP  11/22/2025 6:36:08 PM ::1 Returned 304 in 1 ms
 HTTP  11/22/2025 6:36:10 PM ::1 GET /sw.js
 HTTP  11/22/2025 6:36:10 PM ::1 Returned 304 in 1 ms
 HTTP  11/22/2025 6:36:13 PM ::1 GET /search
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 304 in 1 ms
 HTTP  11/22/2025 6:36:13 PM ::1 GET /config.js
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 304 in 1 ms
 HTTP  11/22/2025 6:36:13 PM ::1 GET /assets/data/rk7a9nq3.js
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 304 in 1 ms
 HTTP  11/22/2025 6:36:13 PM ::1 GET /components.js?v=20250917-2
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 304 in 0 ms
 HTTP  11/22/2025 6:36:13 PM ::1 GET /app.js?v=20250917-2
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 304 in 2 ms
 HTTP  11/22/2025 6:36:13 PM ::1 GET /images/logos/bandon-tennis-club.png
 HTTP  11/22/2025 6:36:13 PM ::1 GET /images/logos/abbeyleix.png
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 304 in 3 ms
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 304 in 3 ms
 HTTP  11/22/2025 6:36:13 PM ::1 GET /images/logos/galway.jpg
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 304 in 0 ms
 HTTP  11/22/2025 6:36:13 PM ::1 GET /assets/data/rk7a9nq3.b64.txt
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 304 in 0 ms
 HTTP  11/22/2025 6:36:13 PM ::1 GET /images/logos/ballycastle-tennis-club.png
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 200 in 2 ms
 HTTP  11/22/2025 6:36:13 PM ::1 GET /images/logos/ballyjamesduff-tennis-club.png
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 200 in 2 ms
 HTTP  11/22/2025 6:36:13 PM ::1 GET /images/logos/ballymena.jpg
 HTTP  11/22/2025 6:36:13 PM ::1 Returned 200 in 1 ms
